address,lat,lng
S 19TH ST / EASTSIDE AVE,36.1679808,-86.73772149999999
2713 BRUNSWICK DR,36.2162382,-86.7612384
1315 GALLATIN AVE,36.1932646,-86.74350659999999
2309 BURNS ST,36.200255,-86.728657
1034 W EASTLAND AVE,36.1829242,-86.749573
BRANCH ST / MARSDEN AVE,36.2013372,-86.7249391
144 DELLWAY DR,36.2139067,-86.75958899999999
175 DELLWAY VILLA RD,36.2122707,-86.76065469999999
1016 GRANADA AVE,36.188405,-86.74935699999999
610 S 8TH ST,36.1684117,-86.7557372
1540 DOUGLAS AVE,36.1914113,-86.7360188
1012 LISCHEY PL,36.1772693,-86.77005439999999
318 S 17TH ST,36.1717223,-86.74039979999999
2902 SHADOW LN,36.2061446,-86.70239210000001
972 MAIN ST,36.1776121,-86.7521263
4500 GALLATIN PIKE,36.2273263,-86.72390519999999
2322 COOPER TER,36.200383,-86.7056114
129 N 6TH ST,36.174956,-86.7629772
1200 DICKERSON PIKE,36.1922718,-86.7730363
2315 RIVERSIDE DR,36.2056829,-86.7242098
WHITES CREEK PIKE / FERN AVE,36.1954986,-86.77510679999999
1005 N 2ND ST,36.1890142,-86.77036849999999
SHELBY AVE / S 7TH ST,36.1692802,-86.75786459999999
1300 DOUGLAS AVE,36.1919511,-86.7426392
501 GALLATIN AVE,36.1820783,-86.7488463
18 FERN AVE,36.1952224,-86.7743734
1108 MATTHEWS PL,36.1885693,-86.73666709999999
2937 RICH ACRES DR,36.227423,-86.766913
678 JOSEPH AVE,36.1827503,-86.77275589999999
1601 HOLLY ST,36.1758058,-86.74171799999999
SHELBY AVE / S 14TH ST,36.1708216,-86.746765
700 S 6TH ST,36.1658638,-86.75946689999999
1012 WOODLAND ST,36.177123,-86.7504962
300 S 10TH ST,36.1738658,-86.7522638
613 WOODLAND ST,36.1732346,-86.76184719999999
4208 EDWARDS AVE,36.2272099,-86.7355669
530 E TRINITY LN,36.2046799,-86.7543456
718 MAPLEWOOD LN,36.2277711,-86.7359599
3713 MOSS ROSE DR,36.2020671,-86.6981256
S 7TH ST / WOODLAND ST,36.17352169999999,-86.76033699999999
ELLINGTON PKWY S / SPRING ST,36.2052267,-86.7502331
624 HART LN,36.2166681,-86.7427737
